tile_type,tile_class_id,mobility,tech_level,cost,armor,move
infantry,1,infantry,primitive,0,0,8
infantry,1,infantry,typical,0,0,9
infantry,1,infantry,advanced,0,0,11
cavalry,1,beast,primitive,0,0,12
cavalry,1,beast,typical,0,0,13
cavalry,1,beast,advanced,0,0,16
cavalry,1,bike,primitive,0,0,21
cavalry,1,bike,typical,0,0,23
cavalry,1,bike,advanced,0,0,29
cavalry,1,hoverbike,primitive,0,0,16
cavalry,1,hoverbike,typical,0,0,18
cavalry,1,hoverbike,advanced,0,0,23
cavalry,1,trike,primitive,0,0,16
cavalry,1,trike,typical,0,0,18
cavalry,1,trike,advanced,0,0,23
vehicle,1,stationary,primitive,0,0,0
vehicle,1,stationary,typical,0,0,0
vehicle,1,stationary,advanced,0,0,0
vehicle,1,wheeled,primitive,0,0,26
vehicle,1,wheeled,typical,0,0,26
vehicle,1,wheeled,advanced,0,0,29
vehicle,1,half_tracked,primitive,0,0,24
vehicle,1,half_tracked,typical,0,0,24
vehicle,1,half_tracked,advanced,0,0,26
vehicle,1,tracked,primitive,0,0,21
vehicle,1,tracked,typical,0,0,21
vehicle,1,tracked,advanced,0,0,23
vehicle,1,anti_gravity,primitive,0,0,21
vehicle,1,anti_gravity,typical,0,0,21
vehicle,1,anti_gravity,advanced,0,0,23
vehicle,1,walker,primitive,0,0,18
vehicle,1,walker,typical,0,0,18
vehicle,1,walker,advanced,0,0,20
vehicle,1,hover,primitive,0,0,24
vehicle,1,hover,typical,0,0,24
vehicle,1,hover,advanced,0,0,26
vehicle,1,vtol,primitive,0,0,53
vehicle,1,vtol,typical,0,0,53
vehicle,1,vtol,advanced,0,0,58
vehicle,1,turbofan,primitive,0,0,63
vehicle,1,turbofan,typical,0,0,63
vehicle,1,turbofan,advanced,0,0,69
vehicle,1,aerojet,primitive,0,0,74
vehicle,1,aerojet,typical,0,0,74
vehicle,1,aerojet,advanced,0,0,81
vehicle,1,naval,primitive,0,0,21
vehicle,1,naval,typical,0,0,21
vehicle,1,naval,advanced,0,0,23
vehicle,2,stationary,primitive,0,0,0
vehicle,2,stationary,typical,0,0,0
vehicle,2,stationary,advanced,0,0,0
vehicle,2,wheeled,primitive,0,0,23
vehicle,2,wheeled,typical,0,0,23
vehicle,2,wheeled,advanced,0,0,25
vehicle,2,half_tracked,primitive,0,0,21
vehicle,2,half_tracked,typical,0,0,21
vehicle,2,half_tracked,advanced,0,0,23
vehicle,2,tracked,primitive,0,0,18
vehicle,2,tracked,typical,0,0,18
vehicle,2,tracked,advanced,0,0,20
vehicle,2,anti_gravity,primitive,0,0,18
vehicle,2,anti_gravity,typical,0,0,18
vehicle,2,anti_gravity,advanced,0,0,20
vehicle,2,walker,primitive,0,0,15
vehicle,2,walker,typical,0,0,15
vehicle,2,walker,advanced,0,0,17
vehicle,2,hover,primitive,0,0,21
vehicle,2,hover,typical,0,0,21
vehicle,2,hover,advanced,0,0,23
vehicle,2,vtol,primitive,0,0,45
vehicle,2,vtol,typical,0,0,45
vehicle,2,vtol,advanced,0,0,50
vehicle,2,turbofan,primitive,0,0,54
vehicle,2,turbofan,typical,0,0,54
vehicle,2,turbofan,advanced,0,0,59
vehicle,2,aerojet,primitive,0,0,63
vehicle,2,aerojet,typical,0,0,63
vehicle,2,aerojet,advanced,0,0,69
vehicle,2,naval,primitive,0,0,18
vehicle,2,naval,typical,0,0,18
vehicle,2,naval,advanced,0,0,20
vehicle,3,stationary,primitive,0,0,0
vehicle,3,stationary,typical,0,0,0
vehicle,3,stationary,advanced,0,0,0
vehicle,3,wheeled,primitive,0,0,20
vehicle,3,wheeled,typical,0,0,20
vehicle,3,wheeled,advanced,0,0,22
vehicle,3,half_tracked,primitive,0,0,18
vehicle,3,half_tracked,typical,0,0,18
vehicle,3,half_tracked,advanced,0,0,20
vehicle,3,tracked,primitive,0,0,16
vehicle,3,tracked,typical,0,0,16
vehicle,3,tracked,advanced,0,0,18
vehicle,3,anti_gravity,primitive,0,0,16
vehicle,3,anti_gravity,typical,0,0,16
vehicle,3,anti_gravity,advanced,0,0,18
vehicle,3,walker,primitive,0,0,14
vehicle,3,walker,typical,0,0,14
vehicle,3,walker,advanced,0,0,15
vehicle,3,hover,primitive,0,0,18
vehicle,3,hover,typical,0,0,18
vehicle,3,hover,advanced,0,0,20
vehicle,3,vtol,primitive,0,0,40
vehicle,3,vtol,typical,0,0,40
vehicle,3,vtol,advanced,0,0,44
vehicle,3,turbofan,primitive,0,0,48
vehicle,3,turbofan,typical,0,0,48
vehicle,3,turbofan,advanced,0,0,53
vehicle,3,aerojet,primitive,0,0,56
vehicle,3,aerojet,typical,0,0,56
vehicle,3,aerojet,advanced,0,0,62
vehicle,3,naval,primitive,0,0,16
vehicle,3,naval,typical,0,0,16
vehicle,3,naval,advanced,0,0,18
vehicle,4,stationary,primitive,0,0,0
vehicle,4,stationary,typical,0,0,0
vehicle,4,stationary,advanced,0,0,0
vehicle,4,wheeled,primitive,0,0,18
vehicle,4,wheeled,typical,0,0,18
vehicle,4,wheeled,advanced,0,0,20
vehicle,4,half_tracked,primitive,0,0,16
vehicle,4,half_tracked,typical,0,0,16
vehicle,4,half_tracked,advanced,0,0,18
vehicle,4,tracked,primitive,0,0,14
vehicle,4,tracked,typical,0,0,14
vehicle,4,tracked,advanced,0,0,15
vehicle,4,anti_gravity,primitive,0,0,14
vehicle,4,anti_gravity,typical,0,0,14
vehicle,4,anti_gravity,advanced,0,0,15
vehicle,4,walker,primitive,0,0,12
vehicle,4,walker,typical,0,0,12
vehicle,4,walker,advanced,0,0,13
vehicle,4,hover,primitive,0,0,16
vehicle,4,hover,typical,0,0,16
vehicle,4,hover,advanced,0,0,18
vehicle,4,vtol,primitive,0,0,35
vehicle,4,vtol,typical,0,0,35
vehicle,4,vtol,advanced,0,0,39
vehicle,4,turbofan,primitive,0,0,42
vehicle,4,turbofan,typical,0,0,42
vehicle,4,turbofan,advanced,0,0,46
vehicle,4,aerojet,primitive,0,0,49
vehicle,4,aerojet,typical,0,0,49
vehicle,4,aerojet,advanced,0,0,54
vehicle,4,naval,primitive,0,0,14
vehicle,4,naval,typical,0,0,14
vehicle,4,naval,advanced,0,0,15
vehicle,5,stationary,primitive,0,0,0
vehicle,5,stationary,typical,0,0,0
vehicle,5,stationary,advanced,0,0,0
vehicle,5,wheeled,primitive,0,0,16
vehicle,5,wheeled,typical,0,0,16
vehicle,5,wheeled,advanced,0,0,18
vehicle,5,half_tracked,primitive,0,0,15
vehicle,5,half_tracked,typical,0,0,15
vehicle,5,half_tracked,advanced,0,0,17
vehicle,5,tracked,primitive,0,0,13
vehicle,5,tracked,typical,0,0,13
vehicle,5,tracked,advanced,0,0,14
vehicle,5,anti_gravity,primitive,0,0,13
vehicle,5,anti_gravity,typical,0,0,13
vehicle,5,anti_gravity,advanced,0,0,14
vehicle,5,walker,primitive,0,0,11
vehicle,5,walker,typical,0,0,11
vehicle,5,walker,advanced,0,0,12
vehicle,5,hover,primitive,0,0,15
vehicle,5,hover,typical,0,0,15
vehicle,5,hover,advanced,0,0,17
vehicle,5,vtol,primitive,0,0,33
vehicle,5,vtol,typical,0,0,33
vehicle,5,vtol,advanced,0,0,36
vehicle,5,turbofan,primitive,0,0,39
vehicle,5,turbofan,typical,0,0,39
vehicle,5,turbofan,advanced,0,0,43
vehicle,5,aerojet,primitive,0,0,46
vehicle,5,aerojet,typical,0,0,46
vehicle,5,aerojet,advanced,0,0,51
vehicle,5,naval,primitive,0,0,13
vehicle,5,naval,typical,0,0,13
vehicle,5,naval,advanced,0,0,14
infantry,1,infantry,primitive,1,1,7
infantry,1,infantry,typical,1,1,8
infantry,1,infantry,advanced,1,1,10
cavalry,1,beast,primitive,1,1,11
cavalry,1,beast,typical,1,1,12
cavalry,1,beast,advanced,1,1,15
cavalry,1,bike,primitive,1,1,19
cavalry,1,bike,typical,1,1,21
cavalry,1,bike,advanced,1,1,27
cavalry,1,hoverbike,primitive,1,1,15
cavalry,1,hoverbike,typical,1,1,17
cavalry,1,hoverbike,advanced,1,1,21
cavalry,1,trike,primitive,1,1,15
cavalry,1,trike,typical,1,1,17
cavalry,1,trike,advanced,1,1,21
vehicle,1,stationary,primitive,1,1,0
vehicle,1,stationary,typical,1,1,0
vehicle,1,stationary,advanced,1,1,0
vehicle,1,wheeled,primitive,1,1,24
vehicle,1,wheeled,typical,1,1,24
vehicle,1,wheeled,advanced,1,1,26
vehicle,1,half_tracked,primitive,1,1,22
vehicle,1,half_tracked,typical,1,1,22
vehicle,1,half_tracked,advanced,1,1,24
vehicle,1,tracked,primitive,1,1,19
vehicle,1,tracked,typical,1,1,19
vehicle,1,tracked,advanced,1,1,21
vehicle,1,anti_gravity,primitive,1,1,19
vehicle,1,anti_gravity,typical,1,1,19
vehicle,1,anti_gravity,advanced,1,1,21
vehicle,1,walker,primitive,1,1,17
vehicle,1,walker,typical,1,1,17
vehicle,1,walker,advanced,1,1,18
vehicle,1,hover,primitive,1,1,22
vehicle,1,hover,typical,1,1,22
vehicle,1,hover,advanced,1,1,24
vehicle,1,vtol,primitive,1,1,49
vehicle,1,vtol,typical,1,1,49
vehicle,1,vtol,advanced,1,1,54
vehicle,1,turbofan,primitive,1,1,58
vehicle,1,turbofan,typical,1,1,58
vehicle,1,turbofan,advanced,1,1,64
vehicle,1,aerojet,primitive,1,1,68
vehicle,1,aerojet,typical,1,1,68
vehicle,1,aerojet,advanced,1,1,75
vehicle,1,naval,primitive,1,1,19
vehicle,1,naval,typical,1,1,19
vehicle,1,naval,advanced,1,1,21
vehicle,2,stationary,primitive,1,1,0
vehicle,2,stationary,typical,1,1,0
vehicle,2,stationary,advanced,1,1,0
vehicle,2,wheeled,primitive,1,1,21
vehicle,2,wheeled,typical,1,1,21
vehicle,2,wheeled,advanced,1,1,23
vehicle,2,half_tracked,primitive,1,1,19
vehicle,2,half_tracked,typical,1,1,19
vehicle,2,half_tracked,advanced,1,1,21
vehicle,2,tracked,primitive,1,1,17
vehicle,2,tracked,typical,1,1,17
vehicle,2,tracked,advanced,1,1,18
vehicle,2,anti_gravity,primitive,1,1,17
vehicle,2,anti_gravity,typical,1,1,17
vehicle,2,anti_gravity,advanced,1,1,18
vehicle,2,walker,primitive,1,1,14
vehicle,2,walker,typical,1,1,14
vehicle,2,walker,advanced,1,1,15
vehicle,2,hover,primitive,1,1,19
vehicle,2,hover,typical,1,1,19
vehicle,2,hover,advanced,1,1,21
vehicle,2,vtol,primitive,1,1,42
vehicle,2,vtol,typical,1,1,42
vehicle,2,vtol,advanced,1,1,46
vehicle,2,turbofan,primitive,1,1,50
vehicle,2,turbofan,typical,1,1,50
vehicle,2,turbofan,advanced,1,1,55
vehicle,2,aerojet,primitive,1,1,58
vehicle,2,aerojet,typical,1,1,58
vehicle,2,aerojet,advanced,1,1,64
vehicle,2,naval,primitive,1,1,17
vehicle,2,naval,typical,1,1,17
vehicle,2,naval,advanced,1,1,18
vehicle,3,stationary,primitive,1,1,0
vehicle,3,stationary,typical,1,1,0
vehicle,3,stationary,advanced,1,1,0
vehicle,3,wheeled,primitive,1,1,19
vehicle,3,wheeled,typical,1,1,19
vehicle,3,wheeled,advanced,1,1,20
vehicle,3,half_tracked,primitive,1,1,17
vehicle,3,half_tracked,typical,1,1,17
vehicle,3,half_tracked,advanced,1,1,18
vehicle,3,tracked,primitive,1,1,15
vehicle,3,tracked,typical,1,1,15
vehicle,3,tracked,advanced,1,1,16
vehicle,3,anti_gravity,primitive,1,1,15
vehicle,3,anti_gravity,typical,1,1,15
vehicle,3,anti_gravity,advanced,1,1,16
vehicle,3,walker,primitive,1,1,13
vehicle,3,walker,typical,1,1,13
vehicle,3,walker,advanced,1,1,14
vehicle,3,hover,primitive,1,1,17
vehicle,3,hover,typical,1,1,17
vehicle,3,hover,advanced,1,1,18
vehicle,3,vtol,primitive,1,1,37
vehicle,3,vtol,typical,1,1,37
vehicle,3,vtol,advanced,1,1,41
vehicle,3,turbofan,primitive,1,1,44
vehicle,3,turbofan,typical,1,1,44
vehicle,3,turbofan,advanced,1,1,49
vehicle,3,aerojet,primitive,1,1,52
vehicle,3,aerojet,typical,1,1,52
vehicle,3,aerojet,advanced,1,1,57
vehicle,3,naval,primitive,1,1,15
vehicle,3,naval,typical,1,1,15
vehicle,3,naval,advanced,1,1,16
vehicle,4,stationary,primitive,1,1,0
vehicle,4,stationary,typical,1,1,0
vehicle,4,stationary,advanced,1,1,0
vehicle,4,wheeled,primitive,1,1,17
vehicle,4,wheeled,typical,1,1,17
vehicle,4,wheeled,advanced,1,1,18
vehicle,4,half_tracked,primitive,1,1,15
vehicle,4,half_tracked,typical,1,1,15
vehicle,4,half_tracked,advanced,1,1,16
vehicle,4,tracked,primitive,1,1,13
vehicle,4,tracked,typical,1,1,13
vehicle,4,tracked,advanced,1,1,14
vehicle,4,anti_gravity,primitive,1,1,13
vehicle,4,anti_gravity,typical,1,1,13
vehicle,4,anti_gravity,advanced,1,1,14
vehicle,4,walker,primitive,1,1,11
vehicle,4,walker,typical,1,1,11
vehicle,4,walker,advanced,1,1,12
vehicle,4,hover,primitive,1,1,15
vehicle,4,hover,typical,1,1,15
vehicle,4,hover,advanced,1,1,16
vehicle,4,vtol,primitive,1,1,32
vehicle,4,vtol,typical,1,1,32
vehicle,4,vtol,advanced,1,1,36
vehicle,4,turbofan,primitive,1,1,39
vehicle,4,turbofan,typical,1,1,39
vehicle,4,turbofan,advanced,1,1,43
vehicle,4,aerojet,primitive,1,1,45
vehicle,4,aerojet,typical,1,1,45
vehicle,4,aerojet,advanced,1,1,50
vehicle,4,naval,primitive,1,1,13
vehicle,4,naval,typical,1,1,13
vehicle,4,naval,advanced,1,1,14
vehicle,5,stationary,primitive,1,1,0
vehicle,5,stationary,typical,1,1,0
vehicle,5,stationary,advanced,1,1,0
vehicle,5,wheeled,primitive,1,1,15
vehicle,5,wheeled,typical,1,1,15
vehicle,5,wheeled,advanced,1,1,16
vehicle,5,half_tracked,primitive,1,1,14
vehicle,5,half_tracked,typical,1,1,14
vehicle,5,half_tracked,advanced,1,1,15
vehicle,5,tracked,primitive,1,1,12
vehicle,5,tracked,typical,1,1,12
vehicle,5,tracked,advanced,1,1,13
vehicle,5,anti_gravity,primitive,1,1,12
vehicle,5,anti_gravity,typical,1,1,12
vehicle,5,anti_gravity,advanced,1,1,13
vehicle,5,walker,primitive,1,1,10
vehicle,5,walker,typical,1,1,10
vehicle,5,walker,advanced,1,1,11
vehicle,5,hover,primitive,1,1,14
vehicle,5,hover,typical,1,1,14
vehicle,5,hover,advanced,1,1,15
vehicle,5,vtol,primitive,1,1,31
vehicle,5,vtol,typical,1,1,31
vehicle,5,vtol,advanced,1,1,34
vehicle,5,turbofan,primitive,1,1,36
vehicle,5,turbofan,typical,1,1,36
vehicle,5,turbofan,advanced,1,1,40
vehicle,5,aerojet,primitive,1,1,43
vehicle,5,aerojet,typical,1,1,43
vehicle,5,aerojet,advanced,1,1,47
vehicle,5,naval,primitive,1,1,12
vehicle,5,naval,typical,1,1,12
vehicle,5,naval,advanced,1,1,13
infantry,1,infantry,primitive,2,2,7
infantry,1,infantry,typical,2,2,8
infantry,1,infantry,advanced,2,2,10
cavalry,1,beast,primitive,2,2,10
cavalry,1,beast,typical,2,2,11
cavalry,1,beast,advanced,2,2,14
cavalry,1,bike,primitive,2,2,18
cavalry,1,bike,typical,2,2,20
cavalry,1,bike,advanced,2,2,24
cavalry,1,hoverbike,primitive,2,2,14
cavalry,1,hoverbike,typical,2,2,15
cavalry,1,hoverbike,advanced,2,2,19
cavalry,1,trike,primitive,2,2,14
cavalry,1,trike,typical,2,2,15
cavalry,1,trike,advanced,2,2,19
vehicle,1,stationary,primitive,2,2,0
vehicle,1,stationary,typical,2,2,0
vehicle,1,stationary,advanced,2,2,0
vehicle,1,wheeled,primitive,2,2,22
vehicle,1,wheeled,typical,2,2,22
vehicle,1,wheeled,advanced,2,2,24
vehicle,1,half_tracked,primitive,2,2,20
vehicle,1,half_tracked,typical,2,2,20
vehicle,1,half_tracked,advanced,2,2,22
vehicle,1,tracked,primitive,2,2,18
vehicle,1,tracked,typical,2,2,18
vehicle,1,tracked,advanced,2,2,20
vehicle,1,anti_gravity,primitive,2,2,18
vehicle,1,anti_gravity,typical,2,2,18
vehicle,1,anti_gravity,advanced,2,2,20
vehicle,1,walker,primitive,2,2,15
vehicle,1,walker,typical,2,2,15
vehicle,1,walker,advanced,2,2,17
vehicle,1,hover,primitive,2,2,20
vehicle,1,hover,typical,2,2,20
vehicle,1,hover,advanced,2,2,22
vehicle,1,vtol,primitive,2,2,45
vehicle,1,vtol,typical,2,2,45
vehicle,1,vtol,advanced,2,2,50
vehicle,1,turbofan,primitive,2,2,54
vehicle,1,turbofan,typical,2,2,54
vehicle,1,turbofan,advanced,2,2,59
vehicle,1,aerojet,primitive,2,2,63
vehicle,1,aerojet,typical,2,2,63
vehicle,1,aerojet,advanced,2,2,69
vehicle,1,naval,primitive,2,2,18
vehicle,1,naval,typical,2,2,18
vehicle,1,naval,advanced,2,2,20
vehicle,2,stationary,primitive,2,2,0
vehicle,2,stationary,typical,2,2,0
vehicle,2,stationary,advanced,2,2,0
vehicle,2,wheeled,primitive,2,2,20
vehicle,2,wheeled,typical,2,2,20
vehicle,2,wheeled,advanced,2,2,22
vehicle,2,half_tracked,primitive,2,2,18
vehicle,2,half_tracked,typical,2,2,18
vehicle,2,half_tracked,advanced,2,2,20
vehicle,2,tracked,primitive,2,2,15
vehicle,2,tracked,typical,2,2,15
vehicle,2,tracked,advanced,2,2,17
vehicle,2,anti_gravity,primitive,2,2,15
vehicle,2,anti_gravity,typical,2,2,15
vehicle,2,anti_gravity,advanced,2,2,17
vehicle,2,walker,primitive,2,2,13
vehicle,2,walker,typical,2,2,13
vehicle,2,walker,advanced,2,2,14
vehicle,2,hover,primitive,2,2,18
vehicle,2,hover,typical,2,2,18
vehicle,2,hover,advanced,2,2,20
vehicle,2,vtol,primitive,2,2,38
vehicle,2,vtol,typical,2,2,38
vehicle,2,vtol,advanced,2,2,42
vehicle,2,turbofan,primitive,2,2,46
vehicle,2,turbofan,typical,2,2,46
vehicle,2,turbofan,advanced,2,2,50
vehicle,2,aerojet,primitive,2,2,54
vehicle,2,aerojet,typical,2,2,54
vehicle,2,aerojet,advanced,2,2,59
vehicle,2,naval,primitive,2,2,15
vehicle,2,naval,typical,2,2,15
vehicle,2,naval,advanced,2,2,17
vehicle,3,stationary,primitive,2,2,0
vehicle,3,stationary,typical,2,2,0
vehicle,3,stationary,advanced,2,2,0
vehicle,3,wheeled,primitive,2,2,17
vehicle,3,wheeled,typical,2,2,17
vehicle,3,wheeled,advanced,2,2,19
vehicle,3,half_tracked,primitive,2,2,15
vehicle,3,half_tracked,typical,2,2,15
vehicle,3,half_tracked,advanced,2,2,17
vehicle,3,tracked,primitive,2,2,14
vehicle,3,tracked,typical,2,2,14
vehicle,3,tracked,advanced,2,2,15
vehicle,3,anti_gravity,primitive,2,2,14
vehicle,3,anti_gravity,typical,2,2,14
vehicle,3,anti_gravity,advanced,2,2,15
vehicle,3,walker,primitive,2,2,12
vehicle,3,walker,typical,2,2,12
vehicle,3,walker,advanced,2,2,13
vehicle,3,hover,primitive,2,2,15
vehicle,3,hover,typical,2,2,15
vehicle,3,hover,advanced,2,2,17
vehicle,3,vtol,primitive,2,2,34
vehicle,3,vtol,typical,2,2,34
vehicle,3,vtol,advanced,2,2,37
vehicle,3,turbofan,primitive,2,2,41
vehicle,3,turbofan,typical,2,2,41
vehicle,3,turbofan,advanced,2,2,45
vehicle,3,aerojet,primitive,2,2,48
vehicle,3,aerojet,typical,2,2,48
vehicle,3,aerojet,advanced,2,2,52
vehicle,3,naval,primitive,2,2,14
vehicle,3,naval,typical,2,2,14
vehicle,3,naval,advanced,2,2,15
vehicle,4,stationary,primitive,2,2,0
vehicle,4,stationary,typical,2,2,0
vehicle,4,stationary,advanced,2,2,0
vehicle,4,wheeled,primitive,2,2,15
vehicle,4,wheeled,typical,2,2,15
vehicle,4,wheeled,advanced,2,2,17
vehicle,4,half_tracked,primitive,2,2,14
vehicle,4,half_tracked,typical,2,2,14
vehicle,4,half_tracked,advanced,2,2,15
vehicle,4,tracked,primitive,2,2,12
vehicle,4,tracked,typical,2,2,12
vehicle,4,tracked,advanced,2,2,13
vehicle,4,anti_gravity,primitive,2,2,12
vehicle,4,anti_gravity,typical,2,2,12
vehicle,4,anti_gravity,advanced,2,2,13
vehicle,4,walker,primitive,2,2,10
vehicle,4,walker,typical,2,2,10
vehicle,4,walker,advanced,2,2,11
vehicle,4,hover,primitive,2,2,14
vehicle,4,hover,typical,2,2,14
vehicle,4,hover,advanced,2,2,15
vehicle,4,vtol,primitive,2,2,30
vehicle,4,vtol,typical,2,2,30
vehicle,4,vtol,advanced,2,2,33
vehicle,4,turbofan,primitive,2,2,36
vehicle,4,turbofan,typical,2,2,36
vehicle,4,turbofan,advanced,2,2,39
vehicle,4,aerojet,primitive,2,2,42
vehicle,4,aerojet,typical,2,2,42
vehicle,4,aerojet,advanced,2,2,46
vehicle,4,naval,primitive,2,2,12
vehicle,4,naval,typical,2,2,12
vehicle,4,naval,advanced,2,2,13
vehicle,5,stationary,primitive,2,2,0
vehicle,5,stationary,typical,2,2,0
vehicle,5,stationary,advanced,2,2,0
vehicle,5,wheeled,primitive,2,2,14
vehicle,5,wheeled,typical,2,2,14
vehicle,5,wheeled,advanced,2,2,15
vehicle,5,half_tracked,primitive,2,2,13
vehicle,5,half_tracked,typical,2,2,13
vehicle,5,half_tracked,advanced,2,2,14
vehicle,5,tracked,primitive,2,2,11
vehicle,5,tracked,typical,2,2,11
vehicle,5,tracked,advanced,2,2,12
vehicle,5,anti_gravity,primitive,2,2,11
vehicle,5,anti_gravity,typical,2,2,11
vehicle,5,anti_gravity,advanced,2,2,12
vehicle,5,walker,primitive,2,2,9
vehicle,5,walker,typical,2,2,9
vehicle,5,walker,advanced,2,2,10
vehicle,5,hover,primitive,2,2,13
vehicle,5,hover,typical,2,2,13
vehicle,5,hover,advanced,2,2,14
vehicle,5,vtol,primitive,2,2,28
vehicle,5,vtol,typical,2,2,28
vehicle,5,vtol,advanced,2,2,31
vehicle,5,turbofan,primitive,2,2,33
vehicle,5,turbofan,typical,2,2,33
vehicle,5,turbofan,advanced,2,2,36
vehicle,5,aerojet,primitive,2,2,39
vehicle,5,aerojet,typical,2,2,39
vehicle,5,aerojet,advanced,2,2,43
vehicle,5,naval,primitive,2,2,11
vehicle,5,naval,typical,2,2,11
vehicle,5,naval,advanced,2,2,12
infantry,1,infantry,primitive,3,3,6
infantry,1,infantry,typical,3,3,7
infantry,1,infantry,advanced,3,3,9
cavalry,1,beast,primitive,3,3,9
cavalry,1,beast,typical,3,3,10
cavalry,1,beast,advanced,3,3,13
cavalry,1,bike,primitive,3,3,16
cavalry,1,bike,typical,3,3,18
cavalry,1,bike,advanced,3,3,22
cavalry,1,hoverbike,primitive,3,3,13
cavalry,1,hoverbike,typical,3,3,14
cavalry,1,hoverbike,advanced,3,3,17
cavalry,1,trike,primitive,3,3,13
cavalry,1,trike,typical,3,3,14
cavalry,1,trike,advanced,3,3,17
vehicle,1,stationary,primitive,3,3,0
vehicle,1,stationary,typical,3,3,0
vehicle,1,stationary,advanced,3,3,0
vehicle,1,wheeled,primitive,3,3,20
vehicle,1,wheeled,typical,3,3,20
vehicle,1,wheeled,advanced,3,3,22
vehicle,1,half_tracked,primitive,3,3,19
vehicle,1,half_tracked,typical,3,3,19
vehicle,1,half_tracked,advanced,3,3,20
vehicle,1,tracked,primitive,3,3,16
vehicle,1,tracked,typical,3,3,16
vehicle,1,tracked,advanced,3,3,18
vehicle,1,anti_gravity,primitive,3,3,16
vehicle,1,anti_gravity,typical,3,3,16
vehicle,1,anti_gravity,advanced,3,3,18
vehicle,1,walker,primitive,3,3,14
vehicle,1,walker,typical,3,3,14
vehicle,1,walker,advanced,3,3,15
vehicle,1,hover,primitive,3,3,19
vehicle,1,hover,typical,3,3,19
vehicle,1,hover,advanced,3,3,20
vehicle,1,vtol,primitive,3,3,41
vehicle,1,vtol,typical,3,3,41
vehicle,1,vtol,advanced,3,3,45
vehicle,1,turbofan,primitive,3,3,49
vehicle,1,turbofan,typical,3,3,49
vehicle,1,turbofan,advanced,3,3,54
vehicle,1,aerojet,primitive,3,3,57
